21;Jesu Kristo ko yetindet;;"Jesu Kristo ko yetindet

Jesu Kristo ko Yetindet
Ne kichamech kot koalech.
Ongigochi mugulelwek
AK tuguk tugul.

Jesu  Kristo ne igiilech
AK kogonech kimnatennyi;
Ki ribotin eng` eunnyi
Achek lagokyik.

Kinyo ng`ony  Yetindet  Jesu
Si kotiachech eng' tengekto.
Ongilosu Jesu kityo
Amu kichamech.

Ongiyumge Si kilosu
Amu ma' konyo koguurech,
Asi ketoroch Inendet
Eng' boibo-indo.

Namech  Jesu eng` eunnyi
Agoi betut ne imutech,
Si ketebye ak kilosu
Betusiek tugul."
22;Kilosun Mising, kamuktaindenyo;;"Kilosun mising', Kamukta-indennyo ,
Am u Wering'ung'  Jesu  ne  kigotiachech.

CHORUS
Haleluya! I toror  Kot!
Haleluya! Amen!
Haleluya! I toror  Kot!
Kilosun iman!

Kilosun mising' amu Tamirmiriet
Ne king'ang 'wech Yetindet eng` sobonwekyok.

Kigonyitin kot amu Ki-ibwatech -
Ki-icheng'ech ache`k che kigi betyotin.

I-ng'eetech nguno eng` Tamirmirieng'ung`
AK irong'ji chamnyeng`ung` mugulelwekyok.

Igochi kosik bik eng' mesundeito
Si koyan Kiptaiyat koek lapkeiyenywa."
23;Alosu Yetindenyu;;"Kime Jesu eng' Kimurtoiyot
Ye kianyorune kasoobet,
Anyorjini yoto kaunet
Alosu Jesu!
 Alosu Yetindennyu,
 Jesu, Kiptaiyandennyu!
  Anyorjini yoto  kaunet
  Alosu Jesu!

Ki'mutwa  among`une  chalwok;
Kitaacha  Jesu  aek  nenyi;
Menyei  nguno  muguleldanyu
Alosu Jesu!
Alosu Yetindennyu,
Jesu, Kiptaiyandennyu!
Menyei nguno muguleldanyu
Alosu Jesu!

Akwong'e eng' Katiaknatenyi ,
Ne Ki-itiacha eng' chamyenyi ;
Ki'tilila ak komutata
Alosu  Jesu!
Alosu Yetindennyu,
Jesu, Kiptaiyandennyu!
Ki `tilila ak  komutata
Alosu Jesu!

Nyonji nguno Kiptaiyandennyo;
Nyo ak itach yetunet ne o.
Nyo si keboibo-itu tugul
Kilosu Jesu
Ongilosu Yetindet ,
Jesu ne Kiptaiyandet!
Nyo si keboibo-itu tugul
Kilosu Jesu!"
24;Mami Kainet ne mie kosiir;;"Mami Kainet ne mie kosiir
Kainetab Jesu  Kristo;
Kisib komwa malaikayat
Kotom kesich inendet

CHORUS
Kilosu Jesu Yetindet;
Kigonyiti Inendet,
Amu magingen kainet age 
Ne u no bo Jesu.

Kosobindet ne mie Jesu
Ne 'soobi mugulelwek.
Ye kingemi otwoknatet
Komechech si kotiachech.

Tiseiywondet ne o Jesu
Ne saiywech eng' kipsengwet,
Ak ye kisa eng' Kainennyi
Kogaswech sa-utikyok."
25;Ng'o ne ruei eng kaptich;;"Ng'o ne ruei eng kaptich

Ng'o ne ru-ei eng' kaptich
Ne kutung'jin mestowek?

CHORUS
Yetindet, katiagindennyo,
Laitoriat, Kiptaiyandennyo.
Ongibutyi kelyekyik
Ak kilosu Kainennyi.

Iberuri ng'o Che chang'
Eng' Logoiywekyik che miach?

Ng'o ne sa-ei Inegei
Eng' koret Getsemane?

Mitei Ng'o kimurtoiyot
Ne kame amu achek?

Ng'o ne mong'une me-et
koek  Toretindennyo?

Weeksei  Ng`o eng` kipsengwet
Nyo kobo-u ng'ony  tugul?"
26;Kimong' Ngo eng Kipsengwet?;;"Kimong` ng'o eng' kipsengwet?
Jesu Yetindennyo.
Kinyo ng'o kotoretech?
Jesu Toretindet.

CHORUS
Ongetien kilosu kot
Jesu Kosobindennyo;
Kigome komechi bik
Inendet Yetindet.

Kiarorwech ng'o sobon?
Jesu Sorunindet.
Kinyo ng`o kogoitogei?
Jesu Katiagindet.

Ng'o ne mie mising' kosiir?
Jesu Yaakta-indet.
Ng'o ne kial  bikab ng'ony?
Jesu Alindennyo.

Nyochin kaat  ng'o bik tengek?
Jesu Tiseiywondet.
Nyonei ng`o tun komutech?
Jesu Latoriandet."
27;Kitieni tiendab boiboiyet;;"Kitieni tiendab boiboiyet 
Amu Yetindennyo. 
Kicham kochorgei eng' barak 
Kome amu achek.

CHORUS
Kiboiboi, kiboiboi 
Amu Yetindennyo. 
Kiboiboi, kiboiboi 
Eng' mugulelwekyok.

Kaguurok Yetindet nguno 
Obwa ogas ng'alek: 
Isoobi Jesu chi tugul 
Ne taachei ng'alekyik.

Osigu ra che ka-ogas 
Ng'alekab yetunet. 
Obwanji Jesu ngunoto 
Amu ma-onok chi

Ye mi Yetindet kobotech 
Ko magiywei nyalil, 
Amu igimitech Ine 
Eng' ka-iimutikyok.

Mi bik che chang' eng' ng'onyuni 
Che tom ko kas Ng'alek. 
Obwa,kemwaite Logoiywek 
Keot Yetindennyo."
28;Atieni ak alosu Jesu;;"Atieni ak alosu
Jesu ne kiyeta.
Anyorune Inendet
Berurtanyi ne o;
Bo tiendanyu Kiptaiyat,
Aruetab Jehovah;
Kitarta korotikyik
Kosobindet ne mie.

Atieni ak alosu
Betusiekyuk tugul.
Abwatoti chamnyennyi
Ne riba kotugul.
Bo tiendanyu  Kiptaiyat
Agot eng' nyalilda,
ine ko Ribindennyu
Ne namei e-unnyu.

Atieni ak alosu
Eng' sobennyu tugul;
Agiilige eng' banda
Kota amite ng'ony.
Bo tiendanyu Kiptaiyat
Alosu kotugul,
Agoi koguura Jesu
Komuta kipsengwet"
29;Ongetien agobo Jesu;;"Ongetien agobo Jesu
Ne  kinyo kogoitogei.
Kibagach torornatennyi
Komechech eng' Kalvari.

CHORUS
Ongetien .. agobo Jesu,
Inendet .. Yetindennyo.
Ongetien . . ak bikab Jesu,
Ongetien .. eng' boiboiyet.

Kinyo Jesu oldaginye
Koek Toretindennyo;
Nyonei kogeny  betut age
Ko u ye  kimwawech keny.

Kagenam ng'alekab Jesu;
Kagiyan logoiywekyik.
Kagemete tengekwogik
AK bitonwekyok che yaach.

Kagosoob mugulelwekyok
Jesu Kosobindennyo.
Kagesich sobondab koigeny
Eng' mieindanyi ne o."
30;Abaibai bet ak kemoi;;"Abaibai bet aK Kemoi,
Amwachi Jesu kongoi
Amu menyei ine muguleldanyu.
Atinye kalyet iman
AK kaberuret ne o
Amu menya Jesu, Yetindet!

CHORUS
Menya ra Yetindet!
Haleluya! Menya Inendet!
Abaibai bet ak kemoi,
Amwachi Jesu kongoi
Amu menya Jesu, Yetindet'.

Kiagochige Jesu
Koriba eng' bandanyu.
Asuboti Ine betusiek tugul.
Yoma masambwanindet;
Aterteri inendet
Amu menya Jesu , Yetindet '.

Mi kobota eng' Oret,
AK koriba eng' chamnyet.
Abaibai amu atiagat eng' chalwok.
Riba Tamirmiriennyi,
AK konyiita boiboiyet
Amu menya Jesu, Yetindet!"
