1138;DHAMBI IKIKULEMEA;;"Dhambi ikikulemea,
Kwa Bwana rehema:
Hivi sasa tegemea
Neno la salama.


Chorus
Tegemea, tegemea,
 akwita sasa.
Ni Mwokozi, ni Mwokozi;
 amini sasa.


Yesu amemwaga darnu
Ya nyingi baraka:
Nawe sasa oga mumu
Zioshwamo taka.


Ni njia Yeye hakika
Hwongoza rahani:
Usikawe kumshika.
Uwe barakani.


Karibu nawe wingie
Mwetu safarini,
Twende tukamwamkie,
Milele Mbinguni.";;
1309;ENDA NASI;;"Tunaomba uwepo wako uende nasi,
Ewe bwana wa majeshi tusikie,
Kama uendi nasi hatutaki kutoka hapa,
Hatuwezi peke yetu enda nasi

CHORUS
Tutavua, mapambo yetu,
Vitu vyote vya dhamani kwetu,
Mioyo yetu twaleta mbele zako,
Tutakase na utembee nasi,

Tu watu wa shingo ngumu tusamehe,
Hatufai mbele zako turehemu,
Tusafishe baba, tuonyeshe uso wako,
Mioyo yetu twaleta mbele zako,

Tunaomba utuonyeshe njia zako, 
Kwa maana umetuita kwa jina lako,
Twalilia e bwana, utukufu na uso wako,
Bila wewe tutashindwa enda nasi,"
1311;ENEZA HABARI HUMU DUNIANI;;"Eneza habari humu duniani,
Po pote panapo moyo wa huzuni;
Ndimi za Wakristo zitangaze Neno,
Yupo Mfariji.


Chorus
Yupo Mfariji, Yupo Mfariji,
Roho Mtakatifu, ndiye Msaidizi;
Eneza habari humu duniani,
Yupo Mfariji.


Mfalme wa wafalme, Yesu, umtazame,
Ametuletea siha ya milele;
Mateka wapate Ukombozi wake,
Yupo Mfariji.


Niwezeje mimi kutamka vizuri,
Kumsifu Mwokozi aliye mbinguni?
Nitangaze sasa, neno la furaha,
Yupo Mfariji.


Wenzangu, tuimbe nyimbo za milele:
Mbinguni tujaze na shukrani tele;
Upendo wa Bwana ujulike sana,
Yupo Mfariji.";;
1324;ENYI ASKARI WA KRISTO;;"Enyi askari wa Kristo,
Mlio vitani;
Muwe hodari kwa bidii,
Msishindwe kweli.
Adui zetu washindwe
Na nguvu za Yesu,
Imani ni nguvu zetu,
Hushinda uovu.


Chorus
Imani ni nguvu,
Imani ni nguvu;
Nguvu za utukufu,
Hushinda uovu.


Bendera yake ni pendo,
Upanga ni Neno;
Tuishike njia yetu,
Tufanye vifijo:
Watakatifu wa kale
Wakawa washindi,
Kwa imani ishindayo
Tushinde vitani.


Ashindaye atapewa
Mavazi meupe,
Malaika watamjua
Akitajwa mle;
Tuendelee na pendo
Majeshi tushinde,
Katika Jina la Yesu
Tuishi milele.";;
1413;EWE KRISTO, MWENYE UTAKASO;;"Ewe Kristo, Mwenye utakaso,
Utume moto, na utume;
Tumekidal kipawa chako,
Utume moto, na utume:
Utazanae waaminifu,
Utupe Roho Mtakatifu;
Kwa Pentekoste twakusifu,
Utume moto, na utume.


Mungu wa Eliya tusikie,
Utume moto, na utume;
Maishani utusaidie,
Utume moto, na utume:
Dharnbi zote na uzichome,
Utukufu wako tuuone;
Twalaka iii tupinduke,
Utume inoto, na utume.


Moto wako tumeuliia,
Utume moto, na utuine;
Haja zetu zote zitimie,
Utume moto, na utuine:
Kwa nguvu, mema ya kutenda,
Kwa neema twaweza kushinda;
Na uwezo wa kutembea,
Utume moto, na utume.";;
1414;EWE YESU ENZINI;;"Ewe Yesu, enzini,
Wakujue vijana,,
Hukojuu mbinguni
Kuwa karibu sana;
Tu mwako mapenzini:
Yesu tusikie
Yesu tusikie.

Wana-kondoo wako Myoyo
yetu ininyonge
Waja, Mchunga, kwako,
Na isitange-tange,
Wawe zizini Mwako;
Kwako Bwana ifunge;
Yesu tusikie.

Midomo yetu pia,
Maishayetu haya,
Iwe kusaidia
Na yawe mapya pia,,
Wajuu kukwimbia
Yesu tusikie.

Yesu tusikie.
Kama sisi kahisa,
Kwetu sisi Mapenzi
Yote yahikupasa,
Kando yetu Miinzi,
ha huna makosa
Kote-kote Mokozi:
Yesu tusikie."
1459;FANYENI KAZI ZENU;;"Fanyeni kazi zenu,
Usiku si mbali;
Kesheni saa zenu
Mkastahimili;
Kwa Yesu tumikeni
Na hiyo Injili,
Sana wahubirini
Watu wa mbali.


Fanyeni kazi zenu
Giza yasongea;
Na wengi wenziwenu
Hawajasikia;
Msipoteze moja
Dakika ni hizi;
Bwana atarejea
Mwisho wa kazi.


Fanyeni kazi zenu,
Hivi jua latwa;
Wote walio kwenu
Mungu huwapenda;
Basi tumjuaye
Na tuwafundishe
Ili Yesu ajaye
Tumfurahishe.";;
1484;FEDHA WALA DHAHABU;;"Fedha wala dhahabu hazitosheki,
Kuninunulia wokovu wangu;
Damu ya Msalaba ndiyo ni msingi,
Kifo cha Mwokozi kimetosheka.


chorus
Nakombolewa, si kwa fedha,
Wala si kwa dhahabu;
Bei aliyoninunulia
Ni damu yake Yesu.


Fedha wala dhahabu hazitosheki,
Amri za Mungu zilinikataza;
Damu ya Msalaba ndiyo ni msingi,
Kifo cha Mwokozi hunituliza.


Fedha wala dhahabu hazitosheki,
Kuinunua njia ya uzima;
Damu ya Msalaba ndiyo ni msingi,
Kifo cha Mwokozi huleta raha.";;
1521;FOLLOW, I WILL FOLLOW THEE;;"Nitakuandama, Ee Bwana,
Kila siku, kila saa
Kwa mambo sitafadhaika,
Uwe nami daima.";;
1581;FURAHA KWA ULIMWENGU;;"Furaha kwa ulimwengu!
Bwana arnekuja;
Nyote mkaribisheni,
Mioyo yenu na mpeni;
Wote wamshangilie,
Wote wamshangilie,
Na wote, na wote wamshangilie.


Furaha kwake dunia
Mwokozi ni Mfalrne;
Bonde na mlima na mwamba,
Maji mitoni na shamba,
Rudisheni sauti,
Rudisheni sauti,
Rudisheni, na rudisheni sauti


Dhambi zisiongezeke,
Wala wahalifu;
Yuaja kutubariki,
Atuletea ushindi;
Kuhanibu dhambi,
Kuharibu dhambi,
Na kuharibu, na kuharibu dhambi


Atawala na neema,
Kwao mataifa;
Utukufu na waone,
Haki yake itendeke;
Kwa upendo wake,
Kwa upendo wake,
Kwa upendo, na kwa upendo wake.";;
