1086;Das große Erbteil ich bald empfange;G;"Das große Erbteil ich bald empfange,
wenn auch auf Erden ich nichts bedeut',
Trotz schwerer Zeiten, bin ich nicht bange,
bald holt mich Jesus zur Herrlichkeit.

Chorus
Ja was macht das aus,
wenn die Menschen sagen,
dass wir so arm sind und and'res mehr?
Wenn wir im Himmel das Erbteil haben,
dann sind wir mehr als ein Millionär.

Wer überwindet, wird alles erben,
so spricht die Bibel, was will ich mehr?
Wir dürfen leben, wenn wir auch sterben,
wir haben mehr als ein Millionär.

Solch Glück und Reichtum
wir hier schon preisen,
wer kann uns schätzen, wie reich wir sind?
Die Lebenskrone ist mir verheissen,
Ich bin durch Christus ein Gotteskind.

Am anderen Strande wir dürfen gehen,
befreit vom irdischen Spott und Hohn.
Auf gold'nen Gassen wir singend stehen,
vor'm Lamme dort auf dem Gottesthron.

So woll'n wir fröhlich nach Zion eilen,
Wenn auch die Welt uns verachtet sehr,
und Freud und Leid miteinander teilen,
Wir sind ja mehr als ein Millionär.";
1087;Das wird allein Herrlichkeit sein;G;"Wenn nach der Erde Leid, Arbeit und Pein
ich in die goldenen Gassen zieh ein,
wird nur das Schau'n meines Heilands allein
Grund meiner Freude und Anbetung sein.

CHORUS
Das wird allein Herrlichkeit sein,
das wird allein Herrlichkeit sein,
wenn frei von Weh' ich Sein Angesicht seh',
wenn frei von Weh' ich Sein Angesicht seh'.

Wenn dann die Gnade, mit der ich geliebt,
dort eine Wohnung im Himmel mir gibt,
wird doch nur Jesus und Jesus allein
Grund meiner Freude und Anbetung sein.

Dort vor dem Throne im himmlischen Land
treff ich die Freunde, die hier ich gekannt,
dennoch wird Jesus und Jesus allein
Gund meiner Freude und Anbetung sein.";
1125;Denn Wer Ist Gott;Dm;entfernt;
1147;Die Güte des Herrn;D;"Die Güte des Herrn 
hat kein Ende, kein Ende.
Sein Erbarmen 
höret niemals auf.
Es ist neu jeden Morgen, 
neu jeden Morgen.
Groß ist Deine Treue, o Herr,
Groß ist Deine Treue, Herr.";
1232;Du bist ein wunderbarer Gott;;entfernt;
1233;Du hast dich mir geoffenbart;F;"Du hast Dich mir geoffenbart, 
oh, Herr, in großer Huld;
Du trägst als Hirte mich so zart
mit liebender Geduld.

Chorus
Drum bete ich Dich an,
mein Gott, ich bete an.
Aus tiefstem Herzen,
wie ich kann,
bet' ich Dich, Jesus, an.

Du bist der gute Hirte mir;
am Kreuz hast Du's bewährt. 
Herr Jesus, ich gehöre Dir, 
Du seist allein geehrt!

Herr, lass mich nur Dein 
Schäflein sein,
halt mich in Deiner Hut.
Ach, führe Du mich aus und ein,
dann habe ich es gut.

Du hast mich je und je gepflegt
mit sanftem Liebessinn;
drum ist mir's tief ins Herz gelegt,
was ich Dir schuldig bin.

Kein eig'ner Weg und Wille mehr!
Bestimme Du allein!
Ich gebe mich Dir gänzlich her;
mein alles sollst Du sein!";
1235;Du warst würdig um zu nehmen das Buch;D;"Du warst würdig 
um zu nehmen das Buch
und die Siegel aufzutun.
Hast mit Deinem teuren Blut erkauft
aus jedem Volk, 
Nation und jedem Land.

CHORUS
Halleluja, Halleluja, 
bin erkauft durch Jesu Blut.
Halleluja, Halleluja, 
bin erkauft durch Jesu Blut.";
1266;Ein Mann Am Kreuze;D;entfernt;
1267;Ein wunderbarer Name hier auf Erden;C;"Ein wunderbarer Name
hier auf Erden
erfüllt mit Freud'
mein Herz und meinen Sinn.
Wohl kann ich deshalb
missverstanden werden,
und doch durch Ihn
ich mehr als glücklich bin.

Chorus
Er ist so wunderbar,
der Name Jesus,
klingt süßer als
die schönste Melodie.
In Ihm ist Heil und völlige Erlösung,
Er schenkt mir Frieden,
Ruh und Harmonie.

Er ist ein Name
über alle Namen,
in Ihm ist alles
uns geschenkt von Gott,
in Ihm hat Gottes Wort
Sein Ja und Amen,
in Ihm ist Sieg
im Leben und im Tod.

Er bringt mir Trost
in schweren Prüfungsstunden,
wenn's dunkel wird
und alles wankt und bricht.
Ja, wenn es scheint
als gehe alles unter,
schenkt Er auf's neu
mir Mut und Zuversicht.

Sein Ruhm ist groß
und mehr noch wird Er finden,
bald legt mit Macht
Er alles unter sich.
Und wenn einst andre
große Namen schwinden,
dann strahlt der Name Jesus ewiglich.";
1327;Er hat mich so geliebt;C;entfernt;
