1257;Ebombami te;;"Ebombami te mwango na Nzambe,
Oy'asalaki, akosala mpe;
Akoyamba yo na bolimbisi,
Ebombami te mwango na Ye.

Ebombami te nandimi solo,
Mpe miso ma ngai mafungwamaki;
Nayebaki Ye na ntango yango,
Eyokaki ngai mosakoli.

Ebombami te esika yango,
Mosakoli akotisaki ngai;
Pole engengaki na motema,
Ebombami te, nalandi Ye.

Ebombami te lotomo na Ye,
Azali koleka mosakoli;
Mwanje na nsambo, mwana na
moto,
Ye Eliya alakamaki";;
1274;Ekokota basantu;Eb;"Moleki, nakotambola,
Na mokili ya mabe;
Wana nakokende lola,
Ekokota basantu.

CHORUS
Ekokota basantu,
Ekokota basantu,
Nkolo ngai mpe nazala,
Ekokota basantu.

Solo nakomona Nkolo,
Soki nasikolami,
Nakokota mboka lola,
Ekokota basantu.

Ntango tokozinga Nkolo,
Bikuke bikangemi,
Nakonganga : ""Nkembo, kembo.""
Ekokota basantu.

Awa nazela likalo,
Ekoya komema ngai;
Na mapata nakei lola,
Ekokota basantu.";© Public Domain;
1275;Ekoyangana basikwami;;"Nakanisi konetwa mpo na kokende
  na nkembo,
Ekoyangana basikwami;
Boni tokoyemba nzembo kuna
Na mboka lola,
Ekoyangana basikwami.

CHORUS
Ekoyangana basikwami,
Bapetwami na masumu;
Koyemba, konganga,
Ekoyangana basikwami.

Wana banso tokotambola likolo
  na wolo,
Ekoyangana basikwami;
Loyembo ekoyokana kuna
Kati na mboka,
Ekoyangana basikwami.

Mpe babulami bakoyemba
  mwango ya lisiko,
Ekoyangana basikwami;
Baanje bakoyoka nde bakokoka
  Koyemba te,
Ekoyangana basikwami.

Nkolo akoloba ete : ""Bobongisa
  elambo!""
Ekoyangana basikwami;
Tokoyoka Ye kobianga: ""Yakani
  bapambwami!""
Ekoyangana basikwami.";© Public Domain;
1276;Ekozala esengo,;;"Ntango tokokende na nkembo 
na Nkolo,
Ekozala esengo !
Mpasi mpe mitungisi ya nse esili,
Ekozala esengo !

CHORUS
Ekozala esengo,
Mikumba lisusu te !
Koyemba, ngonga kobeta na
mitema,
Ekozala esengo.

Kotambola mpe kosolola na Klisto,
Ekozala esengo !
Kosanzolaka oyo aleki banso,
Ekozala esengo.

Mipepe mikoningisa lisusu te,
Ekozala esengo !
Nkolo akobatela biso libela,
Ekozala esengo.";© Public Domain;
1291;Elonga kati na yesu;;"Nayokaki lisolo:
Mobikisi'auti nkembo,
Mpe akufaki n'ékulusu
Mpo abikisa ngai;
Ete anyokwamaki,
Mpe asopaki makila,
Mabe na ngai nayamboli
Ngai nazwi elonga.

CHORUS
O elonga na yesu,
Mobokisi na ngai,
Ayei mpe'asikoli ngai
Na makila na Ye;
Uta kala'alingi ngai
Ngai mpe nakolinga Ye,
Apesi ngai elonga
Na makila na Ye.

Abikisi mobeli,
Nguya na ye'ekopetola,
Mokakatani'atamboli
Mowei miso'amoni;
Mpe nangangi: "" Oh Yesu,
Bikisa molimo na ngai;""
Bongo Yesu ayei na ngai
Apesi elonga.

Atongeli ngai ndako 
Kati na mboka ya nkembo,
Kuna balabala ya wolo
Ngambo na ebale;
Banjelu bakoyemba,
Mpe lisolo ya lisiko,
Ngai nakoyemba na lola
Nzembo ya elonga.";© Public Domain;
1292;Elonga na Makila;;"Elonga Na Makila, Aleluya!
Na Makila na Yesu Mobikisi.
Elonga na Makila, Aleluya!
Nkembo mpe lokumu na Mpate.

Nkembo, nkembo, nkembo,
Nguga na Mpate!
Nkembo, nkembo, nkembo na Mpate,
  Aleluya!
Elonga na Makila, Aleluya!
Nkembo mpe lokumu na Yesu.!";shekinah tabernacle;
1293;Elonga ya ngai;;"Elonga ya ngai, 
Elonga ya ngai,
Nazwi elonga lelo;
Satana kende mosika,
Nazwi elonga lelo.

Lobiko ya ngai,
Lobiko ya ngai,
Nazwi lobiko lelo ;
Satana kende mosika,
Nazwi lobiko lelo.

Lisiko ya ngai,
Lisiko ya ngai,
Nazwi lisiko lelo ;
Satana kende mosika,
Nazwi lisiko lelo.

(Esengo, Bonsomi, Bolingo)";;
1295;EM BREVE VIRA;;"Em breve vira (8X)
Jesus em breve vira

Ata vuya swoswi (8X)
Hosi Yesu ata vuya swoswi."
1339;Esengo;;"Esengo, esengo,
Moklisto akondimaka nyonso;
Esengo, esengo,
Moklisto 'azwaka ya malamu.";;
1340;Esengo Kotambola na Ye;;"Esengo Kotambola na Ye (2x)
Azali kokamba ngai,
Na mobembo awa na nse.
Esengo kotambola na Ye.

Aleluya! Nkembo na Yesu! (2x)
Ye asikolaki ngai
Mpo na Makila na Ye.
Aleluya! Nkembo na Yesu.

Aleluya!  Abikisi ngai! (2x)
Ngai nabiki mobimba
Nalongwi na masumu.
Aleluya abikisi ngai.

Abatisi ngai na  Molimo! (2x)
Natondi na esengo;
Na moto na Molimo.
Abatisi ngai na Molimo.

Na Ye, nakokenda liboso! (2x)
Ye mobateli na ngai,
Nakobanga eloko te.
Na Ye, nakokende liboso.

Aleluya! Nkembo na Yesu!
Yesu azali koya,
Nakokota na Nkembo.
Aleluya! Nkembo na Yesu.";shekinah tabernacle;
